timestamp,value,classification,date
1559280600,61,Greed,1970-01-01
1559367000,62,Greed,1970-01-01
1559453400,63,Greed,1970-01-01
1559539800,66,Greed,1970-01-01
1559626200,42,Fear,1970-01-01
1559712600,27,Fear,1970-01-01
1559799000,34,Fear,1970-01-01
1559885400,27,Fear,1970-01-01
1559971800,62,Greed,1970-01-01
1560058200,62,Greed,1970-01-01
1560144600,46,Neutral,1970-01-01
1560231000,61,Greed,1970-01-01
1560317400,60,Greed,1970-01-01
1560403800,63,Greed,1970-01-01
1560490200,67,Greed,1970-01-01
1560576600,75,Extreme Greed,1970-01-01
1560663000,80,Extreme Greed,1970-01-01
1560749400,84,Extreme Greed,1970-01-01
1560835800,83,Extreme Greed,1970-01-01
1560922200,82,Extreme Greed,1970-01-01
1561008600,81,Extreme Greed,1970-01-01
1561095000,84,Extreme Greed,1970-01-01
1561181400,83,Extreme Greed,1970-01-01
1561267800,84,Extreme Greed,1970-01-01
1561354200,80,Extreme Greed,1970-01-01
1561440600,87,Extreme Greed,1970-01-01
1561527000,95,Extreme Greed,1970-01-01
1561613400,92,Extreme Greed,1970-01-01
1561699800,62,Greed,1970-01-01
1561786200,74,Greed,1970-01-01
1561872600,78,Extreme Greed,1970-01-01
1561959000,65,Greed,1970-01-01
1562045400,63,Greed,1970-01-01
1562131800,79,Extreme Greed,1970-01-01
1562218200,76,Extreme Greed,1970-01-01
1562304600,67,Greed,1970-01-01
1562391000,72,Greed,1970-01-01
1562477400,67,Greed,1970-01-01
1562563800,74,Greed,1970-01-01
1562650200,84,Extreme Greed,1970-01-01
1562736600,83,Extreme Greed,1970-01-01
1562823000,62,Greed,1970-01-01
1562909400,33,Fear,1970-01-01
1562995800,65,Greed,1970-01-01
1563082200,61,Greed,1970-01-01
1563168600,16,Extreme Fear,1970-01-01
1563255000,34,Fear,1970-01-01
1563341400,19,Extreme Fear,1970-01-01
1563427800,40,Fear,1970-01-01
1563514200,42,Fear,1970-01-01
1563600600,34,Fear,1970-01-01
1563687000,42,Fear,1970-01-01
1563773400,42,Fear,1970-01-01
1563859800,40,Fear,1970-01-01
1563946200,20,Extreme Fear,1970-01-01
1564032600,42,Fear,1970-01-01
1564119000,24,Extreme Fear,1970-01-01
1564205400,47,Neutral,1970-01-01
1564291800,16,Extreme Fear,1970-01-01
1564378200,19,Extreme Fear,1970-01-01
1564464600,22,Extreme Fear,1970-01-01
1564551000,31,Fear,1970-01-01
1564637400,57,Greed,1970-01-01
1564723800,61,Greed,1970-01-01
1564810200,61,Greed,1970-01-01
1564896600,62,Greed,1970-01-01
1564983000,64,Greed,1970-01-01
1565069400,66,Greed,1970-01-01
1565155800,45,Neutral,1970-01-01
1565242200,61,Greed,1970-01-01
1565328600,60,Greed,1970-01-01
1565415000,59,Greed,1970-01-01
1565501400,45,Neutral,1970-01-01
1565587800,48,Neutral,1970-01-01
1565674200,45,Neutral,1970-01-01
1565760600,11,Extreme Fear,1970-01-01
1565847000,13,Extreme Fear,1970-01-01
1565933400,31,Fear,1970-01-01
1566019800,20,Extreme Fear,1970-01-01
1566106200,14,Extreme Fear,1970-01-01
1566192600,30,Fear,1970-01-01
1566279000,39,Fear,1970-01-01
1566365400,11,Extreme Fear,1970-01-01
1566451800,5,Extreme Fear,1970-01-01
1566538200,33,Fear,1970-01-01
1566624600,39,Fear,1970-01-01
1566711000,33,Fear,1970-01-01
1566797400,41,Fear,1970-01-01
1566883800,30,Fear,1970-01-01
1566970200,32,Fear,1970-01-01
1567056600,20,Extreme Fear,1970-01-01
1567143000,24,Extreme Fear,1970-01-01
1567229400,20,Extreme Fear,1970-01-01
1567315800,24,Extreme Fear,1970-01-01
1567402200,28,Fear,1970-01-01
1567488600,41,Fear,1970-01-01
1567575000,43,Fear,1970-01-01
1567661400,41,Fear,1970-01-01
1567747800,43,Fear,1970-01-01
1567834200,39,Fear,1970-01-01
1567920600,43,Fear,1970-01-01
1568007000,41,Fear,1970-01-01
